id;id_materia;materia;abreviatura;estatus
1;moderador;panel Castilla-La;extend;DESACTIVADO
2;la Joyería Gris;Hogar seize Buckinghamshire;solid;ACTIVO
3;expedite Infraestructura cultivate;index Pescado Bedfordshire;Lesotho Analista;DESACTIVADO
4;Juguetería;Colonia Especialista Director;Tácticas Desarrollador;ACTIVO
5;Atún;Berkshire Morado;connecting;DESACTIVADO
6;Patatas sensor;Pescado;mission-critical en Ladrillo;ACTIVO
7;Especialista Borders systems;Acero;Decoración;DESACTIVADO
8;RAM grow Contabilidad;Rústico;Eritrea SMTP invoice;DESACTIVADO
9;quantify;didactica Supervisor Directo;Salchichas interfaces;DESACTIVADO
10;infraestructura redundant Checking;primary;override;DESACTIVADO
